REGION,CROP_NAME,YEAR,VARIABLE,VALUE,UoM,SOURCE,CALCULATED_R,CALCULATED_C,CALCULATED_V,ZERO_AS_NULL,COHERENCE_APY,COHERENCE_CROP
AT11,Total wheat,2020,Area,40620.67,ha,NSI,,,Yes,,Yes,Yes
AT11,Soft wheat,2020,Area,37340.26,ha,NSI,,Yes,,,Yes,Yes
AT11,Durum wheat,2020,Area,3280.41,ha,NSI,,Yes,,,Yes,Yes
AT11,Total wheat,2020,Production,212587.66,t,NSI,,,Yes,,Yes,Yes
AT11,Soft wheat,2020,Production,198902.6,t,NSI,,Yes,,,Yes,Yes
AT11,Durum wheat,2020,Production,13685.06,t,NSI,,Yes,,,Yes,Yes
AT11,Total wheat,2020,Yield,5.233,t/ha,NSI,,,Yes,,Yes,Yes
AT11,Soft wheat,2020,Yield,5.327,t/ha,NSI,,Yes,,,Yes,Yes
AT11,Durum wheat,2020,Yield,4.172,t/ha,NSI,,Yes,,,Yes,Yes
AT12,Total wheat,2020,Area,163506.52,ha,NSI,,,Yes,,Yes,Yes
AT12,Soft wheat,2020,Area,150934.57,ha,NSI,,Yes,,,Yes,Yes
AT12,Durum wheat,2020,Area,12571.95,ha,NSI,,Yes,,,Yes,Yes
AT12,Total wheat,2020,Production,959998.81,t,NSI,,,Yes,,Yes,Yes
AT12,Soft wheat,2020,Production,897707.51,t,NSI,,Yes,,,Yes,Yes
AT12,Durum wheat,2020,Production,62291.3,t,NSI,,Yes,,,Yes,Yes
AT12,Total wheat,2020,Yield,5.871,t/ha,NSI,,,Yes,,Yes,Yes
AT12,Soft wheat,2020,Yield,5.948,t/ha,NSI,,Yes,,,Yes,Yes
AT12,Durum wheat,2020,Yield,4.955,t/ha,NSI,,Yes,,,Yes,Yes
AT13,Total wheat,2020,Area,1171.65,ha,NSI,,,Yes,,Yes,Yes
AT13,Soft wheat,2020,Area,969.13,ha,NSI,,Yes,,,Yes,Yes
AT13,Durum wheat,2020,Area,202.52,ha,NSI,,Yes,,,Yes,Yes
AT13,Total wheat,2020,Production,6323.29,t,NSI,,,Yes,,Yes,Yes
AT13,Soft wheat,2020,Production,5517.69,t,NSI,,Yes,,,Yes,Yes
AT13,Durum wheat,2020,Production,805.6,t,NSI,,Yes,,,Yes,Yes
AT13,Total wheat,2020,Yield,5.396,t/ha,NSI,,,Yes,,Yes,Yes
AT13,Soft wheat,2020,Yield,5.693,t/ha,NSI,,Yes,,,Yes,Yes
AT13,Durum wheat,2020,Yield,3.978,t/ha,NSI,,Yes,,,Yes,Yes
AT21,Total wheat,2020,Area,3107.09,ha,NSI,,,Yes,,Yes,Yes
AT21,Soft wheat,2020,Area,2946.83,ha,NSI,,Yes,,,Yes,Yes
AT21,Durum wheat,2020,Area,160.26,ha,NSI,,Yes,,,Yes,Yes
AT21,Total wheat,2020,Production,20165.95,t,NSI,,,Yes,,Yes,Yes
AT21,Soft wheat,2020,Production,19239.44,t,NSI,,Yes,,,Yes,Yes
AT21,Durum wheat,2020,Production,926.51,t,NSI,,Yes,,,Yes,Yes
AT21,Total wheat,2020,Yield,6.49,t/ha,NSI,,,Yes,,Yes,Yes
AT21,Soft wheat,2020,Yield,6.529,t/ha,NSI,,Yes,,,Yes,Yes
AT21,Durum wheat,2020,Yield,5.781,t/ha,NSI,,Yes,,,Yes,Yes
AT22,Total wheat,2020,Area,6451.69,ha,NSI,,,Yes,,Yes,Yes
AT22,Soft wheat,2020,Area,6380.56,ha,NSI,,Yes,,,Yes,Yes
AT22,Durum wheat,2020,Area,71.13,ha,NSI,,Yes,,,Yes,Yes
AT22,Total wheat,2020,Production,44252.76,t,NSI,,,Yes,,Yes,Yes
AT22,Soft wheat,2020,Production,43844.06,t,NSI,,Yes,,,Yes,Yes
AT22,Durum wheat,2020,Production,408.7,t,NSI,,Yes,,,Yes,Yes
AT22,Total wheat,2020,Yield,6.859,t/ha,NSI,,,Yes,,Yes,Yes
AT22,Soft wheat,2020,Yield,6.872,t/ha,NSI,,Yes,,,Yes,Yes
AT22,Durum wheat,2020,Yield,5.746,t/ha,NSI,,Yes,,,Yes,Yes
AT31,Total wheat,2020,Area,47427.12,ha,NSI,,,Yes,,Yes,Yes
AT31,Soft wheat,2020,Area,47239.76,ha,NSI,,Yes,,,Yes,Yes
AT31,Durum wheat,2020,Area,187.36,ha,NSI,,Yes,,,Yes,Yes
AT31,Total wheat,2020,Production,360033.31,t,NSI,,,Yes,,Yes,Yes
AT31,Soft wheat,2020,Production,359007.03,t,NSI,,Yes,,,Yes,Yes
AT31,Durum wheat,2020,Production,1026.28,t,NSI,,Yes,,,Yes,Yes
AT31,Total wheat,2020,Yield,7.591,t/ha,NSI,,,Yes,,Yes,Yes
AT31,Soft wheat,2020,Yield,7.6,t/ha,NSI,,Yes,,,Yes,Yes
AT31,Durum wheat,2020,Yield,5.478,t/ha,NSI,,Yes,,,Yes,Yes
AT32,Total wheat,2020,Area,258.73,ha,NSI,,,Yes,,Yes,Yes
AT32,Soft wheat,2020,Area,244.3,ha,NSI,,Yes,,,Yes,Yes
AT32,Durum wheat,2020,Area,14.43,ha,NSI,,Yes,,,Yes,Yes
AT32,Total wheat,2020,Production,1634.49,t,NSI,,,Yes,,Yes,Yes
AT32,Soft wheat,2020,Production,1554.04,t,NSI,,Yes,,,Yes,Yes
AT32,Durum wheat,2020,Production,80.45,t,NSI,,Yes,,,Yes,Yes
AT32,Total wheat,2020,Yield,6.317,t/ha,NSI,,,Yes,,Yes,Yes
AT32,Soft wheat,2020,Yield,6.361,t/ha,NSI,,Yes,,,Yes,Yes
AT32,Durum wheat,2020,Yield,5.575,t/ha,NSI,,Yes,,,Yes,Yes
AT33,Total wheat,2020,Area,110.19,ha,NSI,,,Yes,,Yes,Yes
AT33,Soft wheat,2020,Area,89.52,ha,NSI,,Yes,,,Yes,Yes
AT33,Durum wheat,2020,Area,20.67,ha,NSI,,Yes,,,Yes,Yes
AT33,Total wheat,2020,Production,575.94,t,NSI,,,Yes,,Yes,Yes
AT33,Soft wheat,2020,Production,472.35,t,NSI,,Yes,,,Yes,Yes
AT33,Durum wheat,2020,Production,103.59,t,NSI,,Yes,,,Yes,Yes
AT33,Total wheat,2020,Yield,5.226,t/ha,NSI,,,Yes,,Yes,Yes
AT33,Soft wheat,2020,Yield,5.276,t/ha,NSI,,Yes,,,Yes,Yes
AT33,Durum wheat,2020,Yield,5.012,t/ha,NSI,,Yes,,,Yes,Yes
AT34,Total wheat,2020,Area,3.99,ha,NSI,,,Yes,,Yes,Yes
AT34,Soft wheat,2020,Area,3.38,ha,NSI,,Yes,,,Yes,Yes
AT34,Durum wheat,2020,Area,0.61,ha,NSI,,Yes,,,Yes,Yes
AT34,Total wheat,2020,Production,20.76,t,NSI,,,Yes,,Yes,Yes
AT34,Soft wheat,2020,Production,17.47,t,NSI,,Yes,,,Yes,Yes
AT34,Durum wheat,2020,Production,3.29,t,NSI,,Yes,,,Yes,Yes
AT34,Total wheat,2020,Yield,5.203,t/ha,NSI,,,Yes,,Yes,Yes
AT34,Soft wheat,2020,Yield,5.169,t/ha,NSI,,Yes,,,Yes,Yes
AT34,Durum wheat,2020,Yield,5.393,t/ha,NSI,,Yes,,,Yes,Yes
BE21,Total wheat,2020,Area,1401.0,ha,Mixed,,,Yes,,Yes,Yes
BE21,Soft wheat,2020,Area,1401.0,ha,NSI,,Yes,,,Yes,Yes
BE21,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
BE21,Total wheat,2020,Production,10021.0,t,Mixed,,,Yes,,Yes,Yes
BE21,Soft wheat,2020,Production,10021.0,t,NSI,,Yes,,,Yes,Yes
BE21,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
BE21,Total wheat,2020,Yield,7.152,t/ha,Mixed,,,Yes,,Yes,Yes
BE21,Soft wheat,2020,Yield,7.153,t/ha,NSI,,Yes,,,Yes,Yes
BE21,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,Yes
BE22,Total wheat,2020,Area,8333.0,ha,Mixed,,,Yes,,Yes,Yes
BE22,Soft wheat,2020,Area,8333.0,ha,NSI,,Yes,,,Yes,Yes
BE22,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
BE22,Total wheat,2020,Production,77224.0,t,Mixed,,,Yes,,Yes,Yes
BE22,Soft wheat,2020,Production,77224.0,t,NSI,,Yes,,,Yes,Yes
BE22,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
BE22,Total wheat,2020,Yield,9.267,t/ha,Mixed,,,Yes,,Yes,Yes
BE22,Soft wheat,2020,Yield,9.267,t/ha,NSI,,Yes,,,Yes,Yes
BE22,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,Yes
BE23,Total wheat,2020,Area,11632.0,ha,Mixed,,,Yes,,Yes,Yes
BE23,Soft wheat,2020,Area,11632.0,ha,NSI,,Yes,,,Yes,Yes
BE23,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
BE23,Total wheat,2020,Production,107029.0,t,Mixed,,,Yes,,Yes,Yes
BE23,Soft wheat,2020,Production,107029.0,t,NSI,,Yes,,,Yes,Yes
BE23,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
BE23,Total wheat,2020,Yield,9.201,t/ha,Mixed,,,Yes,,Yes,Yes
BE23,Soft wheat,2020,Yield,9.201,t/ha,NSI,,Yes,,,Yes,Yes
BE23,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,Yes
BE24,Total wheat,2020,Area,16579.0,ha,Mixed,,,Yes,,Yes,Yes
BE24,Soft wheat,2020,Area,16579.0,ha,NSI,,Yes,,,Yes,Yes
BE24,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
BE24,Total wheat,2020,Production,150753.0,t,Mixed,,,Yes,,Yes,Yes
BE24,Soft wheat,2020,Production,150753.0,t,NSI,,Yes,,,Yes,Yes
BE24,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
